Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-09-07,68923.2890625,69828.98274269054,68742.1503264619,69828.98274269054,13239401
2021-09-08,69104.421875,69194.99123525557,68470.43635321101,68832.71379423329,11798147
2021-09-09,68198.71875,69376.12026892431,67927.01070717131,69194.98157370518,17600770
2021-09-10,68198.71875,68470.42679282869,67745.87201195219,68198.71875,10103212
2021-09-13,69104.421875,69104.421875,68017.58955193315,68108.15891218872,11397775
2021-09-14,69376.125,70372.38789164492,69376.125,69828.9717689295,18167057
2021-09-15,69738.3984375,70100.67583198052,69194.98234577922,70100.67583198052,12829128
2021-09-16,68923.2890625,70100.6908467477,68923.2890625,70010.12147872864,13067622
2021-09-17,69919.53125,69919.53125,68742.12981703368,69104.40718102331,16289502
2021-09-23,70100.671875,70281.81056201551,69557.2558139535,70191.24121850776,17055590
2021-09-24,70010.1171875,70372.39463737064,69828.97846256469,70281.82527490298,12247274
2021-09-27,70372.3671875,70372.3671875,69738.38189752253,70010.08987894145,11699798
2021-09-28,69104.421875,70462.96227883355,69013.85251474443,70372.39291857799,15406382
2021-09-29,67430.9375,68522.93648785425,67157.93775303643,68067.93690958164,23992458
2021-09-30,67430.9375,68067.93690958164,67066.93783738192,67612.93733130903,19919361
2021-10-01,66611.9296875,67339.92891905738,66338.92997566599,67248.9290151127,15803395
2021-10-05,65701.9296875,66429.92890841412,64973.93046658587,66429.92890841412,24013921
2021-10-06,64882.9375,66247.93618513325,64791.93758765779,66065.93636044882,18956962
2021-10-07,65155.91796875,65610.91739590607,64882.91831245636,65155.91796875,13683532
2021-10-08,65064.9296875,65883.92880244755,65064.92968749999,65792.9289007867,14043287
2021-10-12,62789.921875,64518.91972373188,62516.92221467391,64336.91995018116,31001484
2021-10-13,62607.9296875,63335.928869912794,62152.93019849201,62516.9297896984,24172015
2021-10-14,63153.9375,63517.93713976945,62607.93804034582,62789.937860230544,19520641
2021-10-15,63790.9296875,64609.92878477176,63699.92978780314,63881.929587196864,18051612
2021-10-18,63881.93359375,63972.9334991542,62971.934539707974,63881.93359375,13486391
2021-10-19,64245.921875,64609.92143236544,64063.92209631728,64427.92165368272,9507991
2021-10-20,63972.93359375,64609.93293252134,63881.93368821124,64336.933215905054,10151638
2021-10-21,63881.93359375,64245.93321536681,63699.93378294159,63972.9334991542,10891094
2021-10-22,64063.92578125,64336.92546497692,63699.92620294744,63699.92620294744,8395448
2021-10-25,63881.93359375,64245.93321536681,63244.93425592058,63608.93387753739,10029621
2021-10-26,64700.92578125,65064.92536370429,64063.926511955,64245.92630318214,10528252
2021-10-27,63790.9296875,64609.92878477176,63699.92978780314,64609.92878477176,10295316
2021-10-28,64336.9296875,65701.92819572137,63244.93088092292,63244.93088092292,20644902
2021-10-29,63517.9296875,65155.92787428367,63426.929788234236,64791.92827722063,17016151
2021-11-01,63608.921875,64245.921092632336,63608.921875,63881.92153969957,11503729
2021-11-02,65064.9296875,65701.92899912587,64336.93047421328,64427.93037587412,16812570
2021-11-03,64063.92578125,65246.924410733314,63790.926097523086,65246.924410733314,12770428
2021-11-04,64245.921875,65155.9207684136,64154.92198565864,64791.92121104816,11818987
2021-11-05,63881.93359375,65155.932269408826,63881.93359375,65155.932269408826,12667743
2021-11-08,64245.921875,64245.921875,63517.922760269124,64063.92209631728,11121981
